id_municipio,nom_municipio,nom_estado,fecha_registro,robos,secuestros,grado
7056,Mitontic,Chiapas,2025-06-01,0.0,0.0,Bajo
7056,Mitontic,Chiapas,2025-07-01,0.0,0.0,Bajo
7057,Motozintla,Chiapas,2025-05-01,1.0,0.0,Bajo
7057,Motozintla,Chiapas,2025-06-01,1.0,0.0,Bajo
7057,Motozintla,Chiapas,2025-07-01,0.0,0.0,Bajo
7058,Nicolás Ruíz,Chiapas,2025-05-01,0.0,0.0,Bajo
7058,Nicolás Ruíz,Chiapas,2025-06-01,0.0,0.0,Bajo
7058,Nicolás Ruíz,Chiapas,2025-07-01,0.0,0.0,Bajo
7059,Ocosingo,Chiapas,2025-05-01,3.0,0.0,Bajo
7059,Ocosingo,Chiapas,2025-06-01,2.0,0.0,Bajo
7059,Ocosingo,Chiapas,2025-07-01,6.0,0.0,Bajo
7060,Ocotepec,Chiapas,2025-05-01,0.0,0.0,Bajo
7060,Ocotepec,Chiapas,2025-06-01,0.0,0.0,Bajo
7060,Ocotepec,Chiapas,2025-07-01,0.0,0.0,Bajo
7061,Ocozocoautla de Espinosa,Chiapas,2025-05-01,1.0,0.0,Bajo
7061,Ocozocoautla de Espinosa,Chiapas,2025-06-01,1.0,0.0,Bajo
7061,Ocozocoautla de Espinosa,Chiapas,2025-07-01,4.0,0.0,Bajo
7062,Ostuacán,Chiapas,2025-05-01,0.0,0.0,Bajo
7062,Ostuacán,Chiapas,2025-06-01,0.0,0.0,Bajo
7062,Ostuacán,Chiapas,2025-07-01,0.0,0.0,Bajo
7063,Osumacinta,Chiapas,2025-05-01,0.0,0.0,Bajo
7063,Osumacinta,Chiapas,2025-06-01,0.0,0.0,Bajo
7063,Osumacinta,Chiapas,2025-07-01,0.0,0.0,Bajo
7064,Oxchuc,Chiapas,2025-05-01,0.0,0.0,Bajo
7064,Oxchuc,Chiapas,2025-06-01,0.0,0.0,Bajo
7064,Oxchuc,Chiapas,2025-07-01,0.0,0.0,Bajo
7065,Palenque,Chiapas,2025-05-01,5.0,0.0,Bajo
7065,Palenque,Chiapas,2025-06-01,2.0,0.0,Bajo
7065,Palenque,Chiapas,2025-07-01,3.0,0.0,Bajo
7066,Pantelhó,Chiapas,2025-05-01,1.0,0.0,Bajo
7066,Pantelhó,Chiapas,2025-06-01,0.0,0.0,Bajo
7066,Pantelhó,Chiapas,2025-07-01,0.0,0.0,Bajo
7067,Pantepec,Chiapas,2025-05-01,0.0,0.0,Bajo
7067,Pantepec,Chiapas,2025-06-01,0.0,0.0,Bajo
7067,Pantepec,Chiapas,2025-07-01,0.0,0.0,Bajo
7068,Pichucalco,Chiapas,2025-05-01,0.0,0.0,Bajo
7068,Pichucalco,Chiapas,2025-06-01,1.0,0.0,Bajo
7068,Pichucalco,Chiapas,2025-07-01,0.0,0.0,Bajo
7069,Pijijiapan,Chiapas,2025-05-01,3.0,0.0,Bajo
7069,Pijijiapan,Chiapas,2025-06-01,0.0,0.0,Bajo
7069,Pijijiapan,Chiapas,2025-07-01,1.0,0.0,Bajo
7070,El Porvenir,Chiapas,2025-05-01,0.0,0.0,Bajo
7070,El Porvenir,Chiapas,2025-06-01,0.0,0.0,Bajo
7070,El Porvenir,Chiapas,2025-07-01,0.0,0.0,Bajo
7071,Villa Comaltitlán,Chiapas,2025-05-01,2.0,0.0,Bajo
7071,Villa Comaltitlán,Chiapas,2025-06-01,0.0,0.0,Bajo
7071,Villa Comaltitlán,Chiapas,2025-07-01,0.0,0.0,Bajo
7072,Pueblo Nuevo Solistahuacán,Chiapas,2025-05-01,0.0,0.0,Bajo
7072,Pueblo Nuevo Solistahuacán,Chiapas,2025-06-01,1.0,0.0,Bajo
7072,Pueblo Nuevo Solistahuacán,Chiapas,2025-07-01,1.0,0.0,Bajo
7073,Rayón,Chiapas,2025-05-01,1.0,0.0,Bajo
7073,Rayón,Chiapas,2025-06-01,0.0,0.0,Bajo
7073,Rayón,Chiapas,2025-07-01,0.0,0.0,Bajo
7074,Reforma,Chiapas,2025-05-01,3.0,0.0,Bajo
7074,Reforma,Chiapas,2025-06-01,2.0,0.0,Bajo
7074,Reforma,Chiapas,2025-07-01,3.0,0.0,Bajo
7075,Las Rosas,Chiapas,2025-05-01,0.0,0.0,Bajo
7075,Las Rosas,Chiapas,2025-06-01,0.0,0.0,Bajo
7075,Las Rosas,Chiapas,2025-07-01,0.0,0.0,Bajo
7076,Sabanilla,Chiapas,2025-05-01,0.0,0.0,Bajo
7076,Sabanilla,Chiapas,2025-06-01,0.0,0.0,Bajo
7076,Sabanilla,Chiapas,2025-07-01,0.0,0.0,Bajo
7077,Salto de Agua,Chiapas,2025-05-01,0.0,0.0,Bajo
7077,Salto de Agua,Chiapas,2025-06-01,0.0,0.0,Bajo
7077,Salto de Agua,Chiapas,2025-07-01,1.0,0.0,Bajo
7078,San Cristóbal de las Casas,Chiapas,2025-05-01,13.0,0.0,Bajo
7078,San Cristóbal de las Casas,Chiapas,2025-06-01,9.0,0.0,Bajo
7078,San Cristóbal de las Casas,Chiapas,2025-07-01,11.0,0.0,Bajo
7079,San Fernando,Chiapas,2025-05-01,1.0,0.0,Bajo
7079,San Fernando,Chiapas,2025-06-01,0.0,0.0,Bajo
7079,San Fernando,Chiapas,2025-07-01,1.0,0.0,Bajo
7080,Siltepec,Chiapas,2025-05-01,0.0,0.0,Bajo
7080,Siltepec,Chiapas,2025-06-01,0.0,0.0,Bajo
7080,Siltepec,Chiapas,2025-07-01,0.0,0.0,Bajo
7081,Simojovel,Chiapas,2025-05-01,4.0,0.0,Bajo
7081,Simojovel,Chiapas,2025-06-01,1.0,0.0,Bajo
7081,Simojovel,Chiapas,2025-07-01,1.0,0.0,Bajo
7082,Sitalá,Chiapas,2025-05-01,0.0,0.0,Bajo
7082,Sitalá,Chiapas,2025-06-01,0.0,0.0,Bajo
7082,Sitalá,Chiapas,2025-07-01,1.0,0.0,Bajo
7083,Socoltenango,Chiapas,2025-05-01,2.0,0.0,Bajo
7083,Socoltenango,Chiapas,2025-06-01,0.0,0.0,Bajo
7083,Socoltenango,Chiapas,2025-07-01,0.0,0.0,Bajo
7084,Solosuchiapa,Chiapas,2025-05-01,0.0,0.0,Bajo
7084,Solosuchiapa,Chiapas,2025-06-01,0.0,0.0,Bajo
7084,Solosuchiapa,Chiapas,2025-07-01,0.0,0.0,Bajo
7085,Soyaló,Chiapas,2025-05-01,0.0,0.0,Bajo
7085,Soyaló,Chiapas,2025-06-01,0.0,0.0,Bajo
7085,Soyaló,Chiapas,2025-07-01,1.0,0.0,Bajo
7086,Suchiapa,Chiapas,2025-05-01,0.0,0.0,Bajo
7086,Suchiapa,Chiapas,2025-06-01,0.0,0.0,Bajo
7086,Suchiapa,Chiapas,2025-07-01,0.0,0.0,Bajo
7087,Suchiate,Chiapas,2025-05-01,0.0,0.0,Bajo
7087,Suchiate,Chiapas,2025-06-01,0.0,0.0,Bajo
7087,Suchiate,Chiapas,2025-07-01,0.0,0.0,Bajo
7088,Sunuapa,Chiapas,2025-05-01,0.0,0.0,Bajo
7088,Sunuapa,Chiapas,2025-06-01,0.0,0.0,Bajo
7088,Sunuapa,Chiapas,2025-07-01,0.0,0.0,Bajo
7089,Tapachula,Chiapas,2025-05-01,9.0,0.0,Bajo
7089,Tapachula,Chiapas,2025-06-01,8.0,0.0,Bajo
7089,Tapachula,Chiapas,2025-07-01,17.0,0.0,Bajo
7090,Tapalapa,Chiapas,2025-05-01,0.0,0.0,Bajo
7090,Tapalapa,Chiapas,2025-06-01,0.0,0.0,Bajo
7090,Tapalapa,Chiapas,2025-07-01,0.0,0.0,Bajo
7091,Tapilula,Chiapas,2025-05-01,0.0,0.0,Bajo
7091,Tapilula,Chiapas,2025-06-01,0.0,0.0,Bajo
7091,Tapilula,Chiapas,2025-07-01,0.0,0.0,Bajo
7092,Tecpatán,Chiapas,2025-05-01,1.0,0.0,Bajo
